59.46	-0.32	0.07	^
59.48	-0.31	0.09	^
59.5	-0.3	0.12	^
59.52	-0.29	0.14	^
59.54	-0.28	0.17	^
59.56	-0.26	0.19	^
59.59	-0.25	0.21	^
59.6	-0.23	0.23	^
59.62	-0.21	0.25	^
59.64	-0.19	0.26	^
59.66	-0.17	0.28	^
59.68	-0.15	0.29	^
59.7	-0.13	0.3	^
59.72	-0.1	0.31	^
59.74	-0.08	0.32	^
59.76	-0.05	^	^
59.78	-0.03	0.33	^
59.8	0.0	^	^
59.82	0.01	^	^
59.85	0.04	^	^
59.87	0.07	0.32	^
59.89	0.09	0.31	^
59.91	0.12	^	^
59.92	0.14	0.3	^
59.94	0.16	0.28	^
59.96	0.18	0.27	^
59.98	0.2	0.26	^
60.0	0.22	0.24	^
60.02	0.24	0.22	^
60.04	0.26	0.2	^
60.06	0.27	0.18	^
60.08	0.28	0.16	^
60.1	0.3	0.14	^
60.12	0.31	0.11	^
60.14	^	0.09	^
60.16	0.32	0.06	^
60.18	0.33	0.04	^
60.2	^	0.01	^
60.22	^	0.0	^
60.24	^	-0.03	^
60.26	0.32	-0.05	^
60.28	^	-0.08	^
60.3	0.31	-0.1	^
60.32	0.3	-0.12	^
60.34	0.29	-0.15	^
60.36	0.28	-0.17	^
60.38	0.26	-0.19	^
60.4	0.25	-0.21	^
60.42	0.23	-0.23	^
60.44	0.21	-0.25	^
60.46	0.19	-0.27	^
60.48	0.17	-0.28	^
60.5	0.14	-0.29	^
60.52	0.12	-0.3	^
60.54	0.1	-0.31	^
60.56	0.07	-0.32	^
60.58	0.05	^	^
60.6	0.02	-0.33	^
60.62	0.0	^	^
60.64	-0.02	^	^
60.66	-0.04	^	^
60.68	-0.07	-0.32	^
60.7	-0.09	-0.31	^
60.72	-0.12	^	^
60.74	-0.14	-0.3	^
60.76	-0.16	-0.28	^
60.78	-0.19	-0.27	^
60.8	-0.21	-0.25	^
60.82	-0.23	-0.24	^
60.84	-0.24	-0.22	^
60.87	-0.26	-0.2	^
60.89	-0.28	-0.18	^
60.91	-0.29	-0.15	^
60.93	-0.3	-0.13	^
60.95	-0.31	-0.1	^
60.97	-0.32	-0.08	^
60.99	^	-0.05	^
61.01	-0.33	-0.03	^
61.03	^	0.0	^
61.05	^	0.01	^
61.07	^	0.04	^
61.09	-0.32	0.06	^
61.11	^	0.09	^
61.13	-0.31	0.11	^
61.14	-0.3	0.13	^
61.16	-0.29	0.16	^
61.18	-0.27	0.18	^
61.2	-0.26	0.2	^
61.22	-0.24	0.22	^
61.24	-0.23	0.24	^
61.26	-0.21	0.25	^
61.28	-0.19	0.27	^
61.3	-0.16	0.28	^
61.32	-0.14	0.29	^
61.34	-0.12	0.31	^
61.37	-0.09	^	^
61.39	-0.07	0.32	^
61.41	-0.04	0.33	^
61.43	-0.01	^	^
61.45	0.0	^	^
61.47	0.03	^	^
61.49	0.05	0.32	^
61.51	0.08	^	^
61.53	0.1	0.31	^
61.55	0.13	0.3	^
61.57	0.15	0.29	^
61.59	0.17	0.28	^
61.61	0.19	0.26	^
61.63	0.21	0.25	^
61.65	0.23	0.23	^
61.67	0.25	0.21	^
61.69	0.26	0.19	^
61.71	0.28	0.17	^
61.72	0.29	0.15	^
